task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-22 04:22:21.208434,2014-11-22 04:30:55.728989,00:08:34.520555,514.520555
PERF.POWER.RF1,2014-11-22 04:31:01.187048,2014-11-22 04:31:12.542075,00:00:11.355027,11.355027
PERF.POWER.Q14,2014-11-22 04:31:12.554999,2014-11-22 04:31:54.627869,00:00:42.07287,42.07287
PERF.POWER.Q2,2014-11-22 04:31:54.645616,2014-11-22 04:32:02.59712,00:00:07.951504,7.951504
PERF.POWER.Q9,2014-11-22 04:32:02.611961,2014-11-22 04:33:31.939626,00:01:29.327665,89.327665
PERF.POWER.Q20,2014-11-22 04:33:31.959138,2014-11-22 04:33:40.499737,00:00:08.540599,8.540599
PERF.POWER.Q6,2014-11-22 04:33:40.518495,2014-11-22 04:34:09.23344,00:00:28.714945,28.714945
PERF.POWER.Q17,2014-11-22 04:34:09.254699,2014-11-22 04:34:09.510649,00:00:00.25595,0.25595
PERF.POWER.Q18,2014-11-22 04:34:09.531232,2014-11-22 04:35:17.65878,00:01:08.127548,68.127548
PERF.POWER.Q8,2014-11-22 04:35:17.678543,2014-11-22 04:35:30.461868,00:00:12.783325,12.783325
PERF.POWER.Q21,2014-11-22 04:35:30.48157,2014-11-22 04:36:13.618641,00:00:43.137071,43.137071
PERF.POWER.Q13,2014-11-22 04:36:13.637726,2014-11-22 04:36:39.421318,00:00:25.783592,25.783592
PERF.POWER.Q3,2014-11-22 04:36:39.439197,2014-11-22 04:37:23.96661,00:00:44.527413,44.527413
PERF.POWER.Q22,2014-11-22 04:37:23.985021,2014-11-22 04:37:32.31082,00:00:08.325799,8.325799
PERF.POWER.Q16,2014-11-22 04:37:32.329685,2014-11-22 04:37:43.31349,00:00:10.983805,10.983805
PERF.POWER.Q4,2014-11-22 04:37:43.332322,2014-11-22 04:37:57.610966,00:00:14.278644,14.278644
PERF.POWER.Q11,2014-11-22 04:37:57.631208,2014-11-22 04:38:04.815182,00:00:07.183974,7.183974
PERF.POWER.Q15,2014-11-22 04:38:04.835418,2014-11-22 04:38:58.207858,00:00:53.37244,53.37244
PERF.POWER.Q1,2014-11-22 04:38:58.224151,2014-11-22 04:40:27.638241,00:01:29.41409,89.41409
PERF.POWER.Q10,2014-11-22 04:40:27.656487,2014-11-22 04:41:02.941171,00:00:35.284684,35.284684
PERF.POWER.Q19,2014-11-22 04:41:02.959209,2014-11-22 04:41:04.493483,00:00:01.534274,1.534274
PERF.POWER.Q5,2014-11-22 04:41:04.509219,2014-11-22 04:41:20.720681,00:00:16.211462,16.211462
PERF.POWER.Q7,2014-11-22 04:41:20.736798,2014-11-22 04:41:43.98624,00:00:23.249442,23.249442
PERF.POWER.Q12,2014-11-22 04:41:44.005101,2014-11-22 04:42:19.582319,00:00:35.577218,35.577218
PERF.POWER.RF2,2014-11-22 04:42:19.592742,2014-11-22 04:42:51.907717,00:00:32.314975,32.314975
PERF.POWER,2014-11-22 04:31:01.178235,2014-11-22 04:42:51.917975,00:11:50.73974,710.73974
PERF.THRUPUT.QS8.Q19,2014-11-22 04:44:42.935843,2014-11-22 04:44:47.367427,00:00:04.431584,4.431584
PERF.THRUPUT.RFST1.RF1,2014-11-22 04:44:42.554819,2014-11-22 04:44:54.489021,00:00:11.934202,11.934202
PERF.THRUPUT.QS3.Q8,2014-11-22 04:44:42.935948,2014-11-22 04:44:56.802416,00:00:13.866468,13.866468
PERF.THRUPUT.QS9.Q8,2014-11-22 04:44:42.934315,2014-11-22 04:44:56.987631,00:00:14.053316,14.053316
PERF.THRUPUT.QS4.Q5,2014-11-22 04:44:42.935405,2014-11-22 04:45:01.704854,00:00:18.769449,18.769449
PERF.THRUPUT.QS10.Q6,2014-11-22 04:44:42.936828,2014-11-22 04:45:11.736061,00:00:28.799233,28.799233
PERF.THRUPUT.QS2.Q6,2014-11-22 04:44:42.929823,2014-11-22 04:45:11.735993,00:00:28.80617,28.80617
PERF.THRUPUT.QS3.Q5,2014-11-22 04:44:56.81574,2014-11-22 04:45:11.908181,00:00:15.092441,15.092441
PERF.THRUPUT.QS2.Q17,2014-11-22 04:45:11.749509,2014-11-22 04:45:12.018245,00:00:00.268736,0.268736
PERF.THRUPUT.QS6.Q10,2014-11-22 04:44:42.932092,2014-11-22 04:45:15.134912,00:00:32.20282,32.20282
PERF.THRUPUT.QS5.Q21,2014-11-22 04:44:42.935251,2014-11-22 04:45:21.083594,00:00:38.148343,38.148343
PERF.THRUPUT.QS1.Q21,2014-11-22 04:44:42.931269,2014-11-22 04:45:21.083733,00:00:38.152464,38.152464
PERF.THRUPUT.QS9.Q13,2014-11-22 04:44:57.209283,2014-11-22 04:45:23.454787,00:00:26.245504,26.245504
PERF.THRUPUT.RFST1.RF2,2014-11-22 04:44:54.498757,2014-11-22 04:45:25.185003,00:00:30.686246,30.686246
PERF.THRUPUT.RFST1,2014-11-22 04:44:42.548908,2014-11-22 04:45:25.191027,00:00:42.642119,42.642119
PERF.THRUPUT.QS3.Q4,2014-11-22 04:45:11.921516,2014-11-22 04:45:26.441823,00:00:14.520307,14.520307
PERF.THRUPUT.QS9.Q2,2014-11-22 04:45:23.468987,2014-11-22 04:45:31.866557,00:00:08.39757,8.39757
PERF.THRUPUT.RFST2.RF1,2014-11-22 04:45:25.204148,2014-11-22 04:45:35.802455,00:00:10.598307,10.598307
PERF.THRUPUT.QS2.Q14,2014-11-22 04:45:12.030799,2014-11-22 04:45:38.458901,00:00:26.428102,26.428102
PERF.THRUPUT.QS9.Q20,2014-11-22 04:45:31.914658,2014-11-22 04:45:40.146078,00:00:08.23142,8.23142
PERF.THRUPUT.QS9.Q17,2014-11-22 04:45:40.158377,2014-11-22 04:45:40.381218,00:00:00.222841,0.222841
PERF.THRUPUT.QS4.Q21,2014-11-22 04:45:01.717896,2014-11-22 04:45:42.158138,00:00:40.440242,40.440242
PERF.THRUPUT.QS7.Q18,2014-11-22 04:44:42.933025,2014-11-22 04:45:48.142758,00:01:05.209733,65.209733
PERF.THRUPUT.QS3.Q6,2014-11-22 04:45:26.454773,2014-11-22 04:45:49.165999,00:00:22.711226,22.711226
PERF.THRUPUT.QS6.Q3,2014-11-22 04:45:15.185465,2014-11-22 04:45:49.244078,00:00:34.058613,34.058613
PERF.THRUPUT.QS2.Q16,2014-11-22 04:45:38.472575,2014-11-22 04:45:49.400132,00:00:10.927557,10.927557
PERF.THRUPUT.QS3.Q17,2014-11-22 04:45:49.186246,2014-11-22 04:45:49.487373,00:00:00.301127,0.301127
PERF.THRUPUT.QS2.Q19,2014-11-22 04:45:49.415997,2014-11-22 04:45:50.987001,00:00:01.571004,1.571004
PERF.THRUPUT.QS10.Q15,2014-11-22 04:45:11.748954,2014-11-22 04:45:51.068945,00:00:39.319991,39.319991
PERF.THRUPUT.QS1.Q3,2014-11-22 04:45:21.096237,2014-11-22 04:45:52.244587,00:00:31.14835,31.14835
PERF.THRUPUT.QS7.Q8,2014-11-22 04:45:48.157692,2014-11-22 04:46:00.25048,00:00:12.092788,12.092788
PERF.THRUPUT.RFST2.RF2,2014-11-22 04:45:35.811557,2014-11-22 04:46:07.908488,00:00:32.096931,32.096931
PERF.THRUPUT.RFST2,2014-11-22 04:45:25.198942,2014-11-22 04:46:07.916138,00:00:42.717196,42.717196
PERF.THRUPUT.QS7.Q20,2014-11-22 04:46:00.263887,2014-11-22 04:46:08.546274,00:00:08.282387,8.282387
PERF.THRUPUT.QS4.Q14,2014-11-22 04:45:42.171225,2014-11-22 04:46:09.228515,00:00:27.05729,27.05729
PERF.THRUPUT.QS4.Q19,2014-11-22 04:46:09.242241,2014-11-22 04:46:10.920538,00:00:01.678297,1.678297
PERF.THRUPUT.QS5.Q15,2014-11-22 04:45:21.096052,2014-11-22 04:46:14.109723,00:00:53.013671,53.013671
PERF.THRUPUT.QS3.Q7,2014-11-22 04:45:49.504526,2014-11-22 04:46:14.156053,00:00:24.651527,24.651527
PERF.THRUPUT.QS9.Q3,2014-11-22 04:45:40.393692,2014-11-22 04:46:14.315019,00:00:33.921327,33.921327
PERF.THRUPUT.QS8.Q1,2014-11-22 04:44:47.380608,2014-11-22 04:46:16.512827,00:01:29.132219,89.132219
PERF.THRUPUT.RFST3.RF1,2014-11-22 04:46:07.930458,2014-11-22 04:46:18.398786,00:00:10.468328,10.468328
PERF.THRUPUT.QS2.Q10,2014-11-22 04:45:51.023994,2014-11-22 04:46:21.630404,00:00:30.60641,30.60641
PERF.THRUPUT.QS5.Q4,2014-11-22 04:46:14.122811,2014-11-22 04:46:30.152137,00:00:16.029326,16.029326
PERF.THRUPUT.QS6.Q15,2014-11-22 04:45:49.279681,2014-11-22 04:46:36.654647,00:00:47.374966,47.374966
PERF.THRUPUT.QS7.Q21,2014-11-22 04:46:08.5599,2014-11-22 04:46:48.193224,00:00:39.633324,39.633324
PERF.THRUPUT.RFST3.RF2,2014-11-22 04:46:18.408607,2014-11-22 04:46:50.840199,00:00:32.431592,32.431592
PERF.THRUPUT.RFST3,2014-11-22 04:46:07.924398,2014-11-22 04:46:50.847497,00:00:42.923099,42.923099
PERF.THRUPUT.QS1.Q18,2014-11-22 04:45:52.257891,2014-11-22 04:46:57.450417,00:01:05.192526,65.192526
PERF.THRUPUT.QS3.Q1,2014-11-22 04:46:14.169324,2014-11-22 04:47:43.852014,00:01:29.68269,89.68269
PERF.THRUPUT.QS2.Q9,2014-11-22 04:46:21.644042,2014-11-22 04:47:57.804875,00:01:36.160833,96.160833
PERF.THRUPUT.QS1.ALL,2014-11-22 04:44:42.919662,2014-11-22 04:55:03.758036,00:10:20.838374,620.838374
PERF.THRUPUT.QS7.ALL,2014-11-22 04:44:42.921792,2014-11-22 04:55:04.640383,00:10:21.718591,621.718591
PERF.THRUPUT.QS8.ALL,2014-11-22 04:44:42.924589,2014-11-22 04:55:04.77857,00:10:21.853981,621.853981
PERF.THRUPUT.QS10.ALL,2014-11-22 04:44:42.925382,2014-11-22 04:55:06.701699,00:10:23.776317,623.776317
PERF.THRUPUT.QS3.ALL,2014-11-22 04:44:42.924855,2014-11-22 04:55:09.059499,00:10:26.134644,626.134644
PERF.THRUPUT.QS6.ALL,2014-11-22 04:44:42.921289,2014-11-22 04:55:14.385683,00:10:31.464394,631.464394
PERF.THRUPUT.QS9.ALL,2014-11-22 04:44:42.923372,2014-11-22 04:55:14.569154,00:10:31.645782,631.645782
PERF.THRUPUT.QS5.ALL,2014-11-22 04:44:42.924327,2014-11-22 04:55:18.92456,00:10:36.000233,636.000233
PERF.THRUPUT.QS2.ALL,2014-11-22 04:44:42.918588,2014-11-22 04:55:19.330747,00:10:36.412159,636.412159
PERF.THRUPUT.QS4.ALL,2014-11-22 04:44:42.923799,2014-11-22 04:55:21.146021,00:10:38.222222,638.222222
PERF.THRUPUT,2014-11-22 04:44:42.487288,2014-11-22 04:55:24.769436,00:10:42.282148,642.282148
PERF.THRUPUT.QS9.Q6,2014-11-22 04:46:14.329774,2014-11-22 04:46:36.551416,00:00:22.221642,22.221642
PERF.THRUPUT.QS8.Q15,2014-11-22 04:46:16.573985,2014-11-22 04:46:55.07659,00:00:38.502605,38.502605
PERF.THRUPUT.QS8.Q17,2014-11-22 04:46:55.090146,2014-11-22 04:46:55.342783,00:00:00.252637,0.252637
PERF.THRUPUT.QS5.Q6,2014-11-22 04:46:30.167174,2014-11-22 04:46:55.476305,00:00:25.309131,25.309131
PERF.THRUPUT.QS7.Q2,2014-11-22 04:46:48.206973,2014-11-22 04:46:56.39531,00:00:08.188337,8.188337
PERF.THRUPUT.QS10.Q18,2014-11-22 04:45:51.082228,2014-11-22 04:46:56.735467,00:01:05.653239,65.653239
PERF.THRUPUT.QS4.Q15,2014-11-22 04:46:10.933718,2014-11-22 04:46:56.915967,00:00:45.982249,45.982249
PERF.THRUPUT.QS10.Q17,2014-11-22 04:46:56.749271,2014-11-22 04:46:56.98736,00:00:00.238089,0.238089
PERF.THRUPUT.QS4.Q17,2014-11-22 04:46:56.929923,2014-11-22 04:46:57.175137,00:00:00.245214,0.245214
PERF.THRUPUT.RFST4.RF1,2014-11-22 04:46:50.862509,2014-11-22 04:47:00.575897,00:00:09.713388,9.713388
PERF.THRUPUT.QS6.Q13,2014-11-22 04:46:36.667019,2014-11-22 04:47:06.106491,00:00:29.439472,29.439472
PERF.THRUPUT.QS7.Q4,2014-11-22 04:46:56.409155,2014-11-22 04:47:09.5036,00:00:13.094445,13.094445
PERF.THRUPUT.QS8.Q5,2014-11-22 04:46:55.35649,2014-11-22 04:47:09.503645,00:00:14.147155,14.147155
PERF.THRUPUT.QS1.Q5,2014-11-22 04:46:57.463876,2014-11-22 04:47:10.979464,00:00:13.515588,13.515588
PERF.THRUPUT.QS9.Q21,2014-11-22 04:46:36.567536,2014-11-22 04:47:16.96709,00:00:40.399554,40.399554
PERF.THRUPUT.QS5.Q7,2014-11-22 04:46:55.489867,2014-11-22 04:47:17.023122,00:00:21.533255,21.533255
PERF.THRUPUT.QS7.Q22,2014-11-22 04:47:09.518197,2014-11-22 04:47:19.042549,00:00:09.524352,9.524352
PERF.THRUPUT.QS7.Q17,2014-11-22 04:47:19.056425,2014-11-22 04:47:19.316082,00:00:00.259657,0.259657
PERF.THRUPUT.QS1.Q11,2014-11-22 04:47:10.993227,2014-11-22 04:47:19.885648,00:00:08.892421,8.892421
PERF.THRUPUT.QS8.Q8,2014-11-22 04:47:09.518436,2014-11-22 04:47:21.515732,00:00:11.997296,11.997296
PERF.THRUPUT.QS5.Q16,2014-11-22 04:47:17.037186,2014-11-22 04:47:27.153122,00:00:10.115936,10.115936
PERF.THRUPUT.QS5.Q19,2014-11-22 04:47:27.174001,2014-11-22 04:47:28.933029,00:00:01.759028,1.759028
PERF.THRUPUT.QS6.Q6,2014-11-22 04:47:06.11986,2014-11-22 04:47:31.062399,00:00:24.942539,24.942539
PERF.THRUPUT.QS4.Q12,2014-11-22 04:46:57.18779,2014-11-22 04:47:31.265919,00:00:34.078129,34.078129
PERF.THRUPUT.QS10.Q12,2014-11-22 04:46:57.000972,2014-11-22 04:47:31.351881,00:00:34.350909,34.350909
PERF.THRUPUT.RFST4.RF2,2014-11-22 04:47:00.586021,2014-11-22 04:47:33.366004,00:00:32.779983,32.779983
PERF.THRUPUT.RFST4,2014-11-22 04:46:50.855943,2014-11-22 04:47:33.373587,00:00:42.517644,42.517644
PERF.THRUPUT.RFST5.RF1,2014-11-22 04:47:33.388051,2014-11-22 04:47:42.956139,00:00:09.568088,9.568088
PERF.THRUPUT.QS6.Q8,2014-11-22 04:47:31.075968,2014-11-22 04:47:43.047371,00:00:11.971403,11.971403
PERF.THRUPUT.QS1.Q7,2014-11-22 04:47:19.899715,2014-11-22 04:47:43.257463,00:00:23.357748,23.357748
PERF.THRUPUT.QS4.Q6,2014-11-22 04:47:31.279532,2014-11-22 04:47:55.879406,00:00:24.599874,24.599874
PERF.THRUPUT.QS2.Q2,2014-11-22 04:47:57.818405,2014-11-22 04:48:06.376397,00:00:08.557992,8.557992
PERF.THRUPUT.QS1.Q6,2014-11-22 04:47:43.271286,2014-11-22 04:48:09.148947,00:00:25.877661,25.877661
PERF.THRUPUT.QS4.Q4,2014-11-22 04:47:55.897852,2014-11-22 04:48:09.740223,00:00:13.842371,13.842371
PERF.THRUPUT.RFST5.RF2,2014-11-22 04:47:42.966995,2014-11-22 04:48:15.932069,00:00:32.965074,32.965074
PERF.THRUPUT.RFST5,2014-11-22 04:47:33.381898,2014-11-22 04:48:15.940334,00:00:42.558436,42.558436
PERF.THRUPUT.QS1.Q20,2014-11-22 04:48:09.188683,2014-11-22 04:48:17.797808,00:00:08.609125,8.609125
PERF.THRUPUT.QS1.Q17,2014-11-22 04:48:17.811433,2014-11-22 04:48:18.059549,00:00:00.248116,0.248116
PERF.THRUPUT.RFST6.RF1,2014-11-22 04:48:15.955988,2014-11-22 04:48:25.465123,00:00:09.509135,9.509135
PERF.THRUPUT.QS9.Q18,2014-11-22 04:47:16.981342,2014-11-22 04:48:26.127388,00:01:09.146046,69.146046
PERF.THRUPUT.QS9.Q11,2014-11-22 04:48:26.141385,2014-11-22 04:48:35.364825,00:00:09.22344,9.22344
PERF.THRUPUT.QS5.Q18,2014-11-22 04:47:28.947759,2014-11-22 04:48:35.886258,00:01:06.938499,66.938499
PERF.THRUPUT.QS9.Q19,2014-11-22 04:48:35.382718,2014-11-22 04:48:37.653087,00:00:02.270369,2.270369
PERF.THRUPUT.QS7.Q1,2014-11-22 04:47:19.330038,2014-11-22 04:48:49.568104,00:01:30.238066,90.238066
PERF.THRUPUT.QS1.Q12,2014-11-22 04:48:18.073434,2014-11-22 04:48:52.4743,00:00:34.400866,34.400866
PERF.THRUPUT.QS3.Q18,2014-11-22 04:47:43.866086,2014-11-22 04:48:53.676028,00:01:09.809942,69.809942
PERF.THRUPUT.QS2.Q15,2014-11-22 04:48:06.39426,2014-11-22 04:48:54.432662,00:00:48.038402,48.038402
PERF.THRUPUT.QS7.Q11,2014-11-22 04:48:49.582537,2014-11-22 04:48:57.947423,00:00:08.364886,8.364886
PERF.THRUPUT.QS8.Q9,2014-11-22 04:47:21.530057,2014-11-22 04:48:58.600426,00:01:37.070369,97.070369
PERF.THRUPUT.RFST6.RF2,2014-11-22 04:48:25.476086,2014-11-22 04:48:59.416354,00:00:33.940268,33.940268
PERF.THRUPUT.RFST6,2014-11-22 04:48:15.949235,2014-11-22 04:48:59.424237,00:00:43.475002,43.475002
PERF.THRUPUT.QS5.Q14,2014-11-22 04:48:35.986883,2014-11-22 04:49:00.262625,00:00:24.275742,24.275742
PERF.THRUPUT.QS10.Q1,2014-11-22 04:47:31.36515,2014-11-22 04:49:01.496233,00:01:30.131083,90.131083
PERF.THRUPUT.QS1.Q16,2014-11-22 04:48:52.501979,2014-11-22 04:49:02.422305,00:00:09.920326,9.920326
PERF.THRUPUT.QS3.Q22,2014-11-22 04:48:53.689909,2014-11-22 04:49:03.073371,00:00:09.383462,9.383462
PERF.THRUPUT.QS2.Q8,2014-11-22 04:48:54.446795,2014-11-22 04:49:05.416576,00:00:10.969781,10.969781
PERF.THRUPUT.QS5.Q22,2014-11-22 04:49:00.275943,2014-11-22 04:49:08.527153,00:00:08.25121,8.25121
PERF.THRUPUT.RFST7.RF1,2014-11-22 04:48:59.439744,2014-11-22 04:49:08.680273,00:00:09.240529,9.240529
PERF.THRUPUT.QS9.Q10,2014-11-22 04:48:37.680823,2014-11-22 04:49:08.985479,00:00:31.304656,31.304656
PERF.THRUPUT.QS6.Q9,2014-11-22 04:47:43.061107,2014-11-22 04:49:16.984443,00:01:33.923336,93.923336
PERF.THRUPUT.QS5.Q11,2014-11-22 04:49:08.563604,2014-11-22 04:49:17.244696,00:00:08.681092,8.681092
PERF.THRUPUT.QS2.Q5,2014-11-22 04:49:05.431873,2014-11-22 04:49:21.899673,00:00:16.4678,16.4678
PERF.THRUPUT.QS10.Q7,2014-11-22 04:49:01.510256,2014-11-22 04:49:24.992944,00:00:23.482688,23.482688
PERF.THRUPUT.QS3.Q14,2014-11-22 04:49:03.089441,2014-11-22 04:49:25.002508,00:00:21.913067,21.913067
PERF.THRUPUT.QS8.Q12,2014-11-22 04:48:58.614445,2014-11-22 04:49:31.414223,00:00:32.799778,32.799778
PERF.THRUPUT.QS2.Q22,2014-11-22 04:49:21.914259,2014-11-22 04:49:32.1219,00:00:10.207641,10.207641
PERF.THRUPUT.QS10.Q2,2014-11-22 04:49:25.006459,2014-11-22 04:49:33.371509,00:00:08.36505,8.36505
PERF.THRUPUT.RFST7.RF2,2014-11-22 04:49:08.690574,2014-11-22 04:49:40.63161,00:00:31.941036,31.941036
PERF.THRUPUT.RFST7,2014-11-22 04:48:59.432833,2014-11-22 04:49:40.640577,00:00:41.207744,41.207744
PERF.THRUPUT.QS6.Q7,2014-11-22 04:49:17.000863,2014-11-22 04:49:41.817875,00:00:24.817012,24.817012
PERF.THRUPUT.QS10.Q22,2014-11-22 04:49:33.385223,2014-11-22 04:49:42.241642,00:00:08.856419,8.856419
PERF.THRUPUT.QS4.Q9,2014-11-22 04:48:09.753913,2014-11-22 04:49:44.688242,00:01:34.934329,94.934329
PERF.THRUPUT.QS5.Q13,2014-11-22 04:49:17.262697,2014-11-22 04:49:46.182254,00:00:28.919557,28.919557
PERF.THRUPUT.QS1.Q15,2014-11-22 04:49:02.436601,2014-11-22 04:49:50.091322,00:00:47.654721,47.654721
PERF.THRUPUT.RFST8.RF1,2014-11-22 04:49:40.656009,2014-11-22 04:49:50.107993,00:00:09.451984,9.451984
PERF.THRUPUT.QS6.Q4,2014-11-22 04:49:41.831386,2014-11-22 04:49:55.44482,00:00:13.613434,13.613434
PERF.THRUPUT.QS8.Q14,2014-11-22 04:49:31.429184,2014-11-22 04:49:57.259648,00:00:25.830464,25.830464
PERF.THRUPUT.QS9.Q15,2014-11-22 04:49:08.999479,2014-11-22 04:49:57.344191,00:00:48.344712,48.344712
PERF.THRUPUT.QS2.Q12,2014-11-22 04:49:32.166947,2014-11-22 04:50:05.934135,00:00:33.767188,33.767188
PERF.THRUPUT.RFST8,2014-11-22 04:49:40.649289,2014-11-22 04:50:22.720764,00:00:42.071475,42.071475
PERF.THRUPUT.QS7.Q9,2014-11-22 04:48:57.961085,2014-11-22 04:50:36.078742,00:01:38.117657,98.117657
PERF.THRUPUT.QS3.Q9,2014-11-22 04:49:25.016002,2014-11-22 04:51:00.091339,00:01:35.075337,95.075337
PERF.THRUPUT.QS4.Q8,2014-11-22 04:49:44.702406,2014-11-22 04:49:56.527081,00:00:11.824675,11.824675
PERF.THRUPUT.QS6.Q11,2014-11-22 04:49:55.458799,2014-11-22 04:50:03.481178,00:00:08.022379,8.022379
PERF.THRUPUT.QS4.Q16,2014-11-22 04:49:56.540623,2014-11-22 04:50:07.644204,00:00:11.103581,11.103581
PERF.THRUPUT.QS9.Q4,2014-11-22 04:49:57.357076,2014-11-22 04:50:11.353626,00:00:13.99655,13.99655
PERF.THRUPUT.QS10.Q13,2014-11-22 04:49:42.255089,2014-11-22 04:50:11.411461,00:00:29.156372,29.156372
PERF.THRUPUT.QS6.Q22,2014-11-22 04:50:03.498496,2014-11-22 04:50:12.383767,00:00:08.885271,8.885271
PERF.THRUPUT.QS4.Q11,2014-11-22 04:50:07.692519,2014-11-22 04:50:16.200147,00:00:08.507628,8.507628
PERF.THRUPUT.QS8.Q7,2014-11-22 04:49:57.272789,2014-11-22 04:50:19.308314,00:00:22.035525,22.035525
PERF.THRUPUT.QS1.Q13,2014-11-22 04:49:50.106865,2014-11-22 04:50:20.171829,00:00:30.064964,30.064964
PERF.THRUPUT.QS9.Q22,2014-11-22 04:50:11.36787,2014-11-22 04:50:20.973136,00:00:09.605266,9.605266
PERF.THRUPUT.QS5.Q3,2014-11-22 04:49:46.19584,2014-11-22 04:50:21.258569,00:00:35.062729,35.062729
