# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416627942;sda;7.59;0.00;244.69;32.25;0.07;8.60;0.14;0.11
axle;60;1416628002;sda;5.98;0.00;373.06;62.35;0.02;3.02;0.13;0.08
axle;60;1416628062;sda;5.50;0.00;329.11;59.89;0.01;2.33;0.10;0.05
axle;60;1416628122;sda;3.57;0.00;163.31;45.76;0.01;1.81;0.11;0.04
axle;60;1416628182;sda;5.02;0.00;365.75;72.80;0.01;2.88;0.12;0.06
axle;60;1416628242;sda;6.74;0.13;316.58;46.99;0.02;2.94;0.11;0.07
axle;60;1416628302;sda;4.39;0.00;267.96;61.02;0.01;1.95;0.14;0.06
axle;60;1416628362;sda;4.51;0.00;268.45;59.59;0.01;1.85;0.13;0.06
axle;60;1416628422;sda;5.09;0.00;262.04;51.51;0.01;1.65;0.08;0.04
axle;60;1416628482;sda;5.21;0.00;309.08;59.36;0.01;2.13;0.13;0.07
