# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416627942;40091236;224433188;84.84;282124;18770996;209733248;76.85
axle;60;1416628002;38567944;225956480;85.42;282336;18842404;211157432;77.37
axle;60;1416628062;39700196;224824228;84.99;282580;18768588;210095468;76.98
axle;60;1416628122;38028328;226496096;85.62;282756;18854220;211758016;77.59
axle;60;1416628182;39789920;224734504;84.96;282996;18840220;210205400;77.02
axle;60;1416628242;39105932;225418492;85.22;283252;18888884;210599756;77.17
axle;60;1416628302;37730492;226793932;85.74;283440;18860212;211944312;77.66
axle;60;1416628362;39011176;225513248;85.25;283660;18913680;210668104;77.19
axle;60;1416628422;40658980;223865444;84.63;283868;19314104;208594164;76.43
axle;60;1416628482;37077776;227446648;85.98;284100;20626872;210902068;77.28
