# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416627121;42908884;221615540;83.78;280620;17894976;207980516;76.21
axle;60;1416627181;50986852;213537572;80.73;280708;9915404;207895912;76.18
axle;60;1416627241;49402492;215121932;81.32;280768;11881808;207471904;76.02
axle;60;1416627301;47015304;217509120;82.23;280824;12655120;209087704;76.61
axle;60;1416627361;48325036;216199388;81.73;280880;12962552;207472852;76.02
axle;60;1416627421;47030936;217493488;82.22;280948;14113132;207623936;76.08
axle;60;1416627481;43807484;220716940;83.44;281032;17457728;207512696;76.04
axle;60;1416627541;43043564;221480860;83.73;281092;18259340;207471312;76.02
axle;60;1416627601;43029164;221495260;83.73;281140;18260744;207471312;76.02
axle;60;1416627661;40559252;223965172;84.67;281188;20290472;207911992;76.18
axle;60;1416627721;39960764;224563660;84.89;281284;20372060;208426284;76.37
