# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416627121;sda;18.83;0.00;4214.93;223.79;0.66;35.81;0.29;0.55
axle;60;1416627181;sda;4.15;0.00;728.57;175.71;0.02;5.10;0.27;0.11
axle;60;1416627241;sda;2.30;0.00;366.59;159.36;0.01;5.62;0.17;0.04
axle;60;1416627301;sda;0.98;0.00;64.41;65.49;0.00;0.00;0.00;0.00
axle;60;1416627361;sda;1.03;0.00;80.15;77.55;0.00;0.32;0.06;0.01
axle;60;1416627421;sda;1.08;0.00;78.01;72.00;0.00;0.37;0.18;0.02
axle;60;1416627481;sda;1.10;0.00;67.89;61.70;0.00;0.42;0.18;0.02
axle;60;1416627541;sda;1.02;0.00;63.49;62.43;0.00;0.39;0.07;0.01
axle;60;1416627601;sda;1.02;0.00;79.99;78.69;0.00;0.13;0.13;0.01
axle;60;1416627661;sda;0.65;0.00;49.06;75.49;0.00;0.00;0.00;0.00
axle;60;1416627721;sda;1.27;0.00;96.53;76.21;0.00;0.32;0.05;0.01
