Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

04:31:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:32:01 AM     all      6.25      0.00      6.81      0.03      0.00     86.91
04:33:01 AM     all      6.89      0.00      5.57      0.00      0.00     87.53
04:34:01 AM     all      4.52      0.00      1.86      0.00      0.00     93.61
04:35:01 AM     all      5.44      0.00      0.88      0.00      0.00     93.68
04:36:01 AM     all      5.05      0.00      1.30      0.00      0.00     93.65
04:37:01 AM     all      5.33      0.00      0.99      0.00      0.00     93.67
04:38:01 AM     all      4.26      0.00      2.12      0.00      0.00     93.62
04:39:01 AM     all      4.51      0.00      1.83      0.00      0.00     93.66
04:40:01 AM     all      6.13      0.00      0.14      0.00      0.00     93.73
04:41:01 AM     all      5.40      0.00      0.90      0.00      0.00     93.70
04:42:01 AM     all      4.79      0.00      1.58      0.00      0.00     93.63
