# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416627121;-72792.89;0.33;70758.11
axle;60;1416627181;33765.12;0.37;-33353.84
axle;60;1416627241;-6602.60;0.25;8194.72
axle;60;1416627301;-9948.27;0.23;3222.67
axle;60;1416627361;5458.13;0.23;1281.18
axle;60;1416627421;-5392.98;0.28;4794.88
axle;60;1416627481;-13435.53;0.35;13940.46
axle;60;1416627541;-3184.06;0.25;3341.16
axle;60;1416627601;-59.99;0.20;5.85
axle;60;1416627661;-10289.59;0.20;8455.79
axle;60;1416627721;-2493.70;0.40;339.95
