Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

04:22:18 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:23:18 AM     all     18.64      0.00      3.25      0.00      0.00     78.10
04:24:18 AM     all      8.54      0.00      1.66      0.00      0.00     89.81
04:25:18 AM     all      5.73      0.00      1.59      0.00      0.00     92.68
04:26:18 AM     all      5.74      0.00      1.07      0.00      0.00     93.19
04:27:18 AM     all      5.73      0.00      1.05      0.00      0.00     93.22
04:28:18 AM     all      5.09      0.00      1.82      0.00      0.00     93.08
04:29:18 AM     all      5.50      0.00      0.80      0.00      0.00     93.70
04:30:18 AM     all     13.81      0.00      2.29      0.00      0.00     83.91
