# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416626598;58443076;206081348;77.91;280096;2837508;207489936;76.03
axle;60;1416626658;56433080;208091344;78.67;280136;4850016;207484732;76.03
axle;60;1416626718;56425408;208099016;78.67;280160;4851812;207484540;76.03
axle;60;1416626778;56422472;208101952;78.67;280196;4853452;207484732;76.03
axle;60;1416626838;56422900;208101524;78.67;280220;4855116;207484540;76.03
axle;60;1416626898;53135432;211388992;79.91;280260;4856832;210934652;77.29
axle;60;1416626958;55250760;209273664;79.11;280292;4859056;208955648;76.57
axle;60;1416627018;56355188;208169236;78.70;280372;4925324;207492708;76.03
